Level,id,Wissenschaftlicher Name,Name,Euring,Species id,Familie,Artengruppe,Artstatus,Datum,Zeit,Erfassungsdatum,Typ des Meldesystems,versteckt bis,hide level,Anzahl,Geschlecht,Stadium,Aktivität,31468-X,31468-Y,Lon,Lat,Genauigkeit,Biotop,Gebiet,Bundesland,Provinz,Benutzer,Admin,Status,sicher,"entflohen, ausgesetzt oder angepflanzt",Methode,link,Bemerkungen,Bemerkungen zum Ort,Tagesliste,Foto
+,174253859,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,19/08/2006,,11/06/2019,Site,01/01/1980,0,3,unbekannt,unbekannt,anwesend,"4,278,231","5,748,759","878,122,375","5,182,885,319",100, onbekend,BRD - LIP Lippe (Kreis),BRD - Nordrhein-Westfalen,Germany,Martin Schlüpmann,Axel Hochkirch,J,Y,N,Fang,https://nrw.observation.org/waarneming/view/174253859,"""""",,0,Y
+,174254549,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,19/08/2006,,11/06/2019,Site,01/01/1980,0,1,unbekannt,Imago,anwesend,"4,278,400","5,749,375","878,328,368","5,183,444,903",100, onbekend,BRD - LIP Lippe (Kreis),BRD - Nordrhein-Westfalen,Germany,Martin Schlüpmann,Axel Hochkirch,J,Y,N,Fang,https://nrw.observation.org/waarneming/view/174254549,"""""",,0,Y
+,46180922,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,28/04/2007,,27/01/2010,Site,01/01/1980,0,1,männlich,Imago,anwesend,"4,086,203","5,687,990","607,900,198,923","511,767,232,474",unknown, onbekend,BRD - NSG Lüsekamp,BRD - Nordrhein-Westfalen,Germany,Wouter Jansen,Wim Bakker,P,Y,N,-,https://nrw.observation.org/waarneming/view/46180922,"""""",heidestukje,0,N
+,46180923,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,28/04/2007,,27/01/2010,Site,01/01/1980,0,1,männlich,Imago,anwesend,"4,086,225","5,688,068","6,079,213,021","511,774,411,146",unknown, onbekend,BRD - NSG Lüsekamp,BRD - Nordrhein-Westfalen,Germany,Wouter Jansen,Wim Bakker,P,Y,N,-,https://nrw.observation.org/waarneming/view/46180923,"""""",grasland,0,N
+,2450029,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,18/05/2007,,21/05/2007,Site,01/01/1970,0,15,unbekannt,unbekannt,singend,"4,080,209","5,663,178","602,247,749,254,935","509,505,581,250,675",unknown, onbekend,BRD - HS Heinsberg (Kreis),BRD - Nordrhein-Westfalen,Germany,Jeroen Veeken,Wim Bakker,P,Y,N,-,https://nrw.observation.org/waarneming/view/2450029,,"""""",0,N
+,42785682,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,02/05/2009,,02/05/2009,Site,01/01/1980,0,101,männlich,unbekannt,singend,"4,080,179","5,663,105","602,213,859,558","50,949,883,923",unknown, onbekend,BRD - HS Heinsberg (Kreis),BRD - Nordrhein-Westfalen,Germany,Jeroen Veeken,Wim Bakker,P,Y,N,-,https://nrw.observation.org/waarneming/view/42785682,"""zeer veel exx over het gebied verspreid""","""""",0,N
+,86628092,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,15/06/2009,,25/07/2014,Site,01/01/1980,0,10,männlich,unbekannt,anwesend,"4,275,314","5,745,202","874,128,431,082","517,957,695,701",100, onbekend,BRD - PB Paderborn (Kreis),BRD - Nordrhein-Westfalen,Germany,Jaap Bouwman,Florin Rutschmann,P,Y,N,-,https://nrw.observation.org/waarneming/view/86628092,"""""",,0,N
+,169103360,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,15/06/2009,,26/03/2019,copied observation,01/01/1980,0,10,männlich,unbekannt,anwesend,"4,275,314","5,745,202","874,128,431,082","517,957,695,701",100, onbekend,BRD - PB Paderborn (Kreis),BRD - Nordrhein-Westfalen,Germany,Menno Hornman,,O,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/169103360,,,0,N
+,54507337,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,15/05/2011,,15/05/2011,,01/01/1980,0,10,unbekannt,unbekannt,singend,"4,085,999","5,689,460","607,440,948,486","511,897,173,929",10, onbekend,BRD - NSG Lüsekamp,BRD - Nordrhein-Westfalen,Germany,Willem Vergoossen,Wim Bakker,P,Y,N,-,https://nrw.observation.org/waarneming/view/54507337,"""""",,0,N
+,68612627,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,18/05/2012,11:40,20/05/2012,ObsMapp,01/01/2007,0,1,unbekannt,unbekannt,anwesend,"4,086,350","5,687,512","608,164","51,172,556",10, onbekend,BRD - Maas-Schwalm-Nette,BRD - Nordrhein-Westfalen,Germany,Vincent Kalkman,Rob Felix,P,Y,N,-,https://nrw.observation.org/waarneming/view/68612627,"""""",,0,N
